size,if_static,if_const,if_global,if_pointer,if_enum,lifetime,output
1,False,False,False,False,False,832,0.333333333333
1,False,False,False,True,False,832,0.428571428571
1,False,False,False,False,False,597,0.125
1,False,False,False,True,False,597,0.125
1,False,False,False,False,False,597,0.5
1,False,False,False,True,False,597,0.5
1,False,False,False,False,False,597,0.4
1,False,False,False,False,False,597,0.625
1,False,False,False,False,False,597,0.333333333333
1,False,False,False,False,False,597,0.25
1,False,False,False,False,False,512,0.0393258426966
1,False,False,False,True,False,512,0.0524691358025
1,False,False,False,True,False,512,0.0467532467532
1,False,False,False,False,False,512,0.0862068965517
1,False,False,False,True,False,512,0.0422960725076
1,False,False,False,True,False,512,0.0448877805486
1,False,False,False,False,False,512,0.155440414508
1,False,False,False,False,False,512,0.0561797752809
1,False,False,False,True,False,512,0.25
1,False,False,False,False,False,512,0.0915032679739
1,False,False,False,False,False,512,0.132075471698
1,False,False,False,False,False,512,0.046875
1,False,False,False,True,False,512,0.5
1,True,False,False,True,False,512,0.352941176471
1,False,False,False,True,False,117,0.235772357724
1,False,False,False,False,False,117,0.5
1,False,False,False,True,False,597,0.25641025641
1,False,False,False,True,False,597,0.380952380952
1,False,False,False,True,False,122,0.235772357724
1,False,False,False,False,False,122,1.0
1,False,False,False,False,False,122,0.541666666667
1,False,False,False,False,False,122,0.5
1,False,False,False,False,False,597,0.777777777778
1,False,False,False,True,False,597,0.285714285714
1,False,False,False,True,False,376,0.337816405507
1,False,False,False,True,False,376,0.000586567601916
1,False,False,False,True,False,23,0.042492917847
1,False,False,False,False,False,23,1.0
1,False,False,False,False,False,23,0.512820512821
1,False,False,False,True,False,23,0.470588235294
1,False,False,False,True,False,376,0.114561027837
1,False,False,False,True,False,376,0.113733905579
1,False,False,False,True,False,7,0.470588235294
1,False,False,False,True,False,38,0.042492917847
1,False,False,False,True,False,38,0.555555555556
1,False,False,False,True,False,38,0.470588235294
1,False,False,False,True,False,33,0.470588235294
1,False,False,False,False,False,33,0.5
1,False,False,False,True,False,33,0.042492917847
1,False,False,False,False,False,376,0.149519890261
1,False,False,False,False,False,376,0.140102827763
1,False,False,False,True,False,597,0.4
1,False,False,False,True,False,597,0.625
1,False,False,False,True,False,23,0.155440414508
1,False,False,False,False,False,23,0.0915032679739
1,False,False,False,False,False,23,0.0862068965517
1,False,False,False,True,False,23,0.339285714286
1,False,False,False,True,False,597,0.2
1,False,False,False,True,False,20,0.155440414508
1,False,False,False,True,False,20,0.339285714286
1,False,False,False,True,False,40,0.339285714286
1,False,False,False,True,False,40,0.120481927711
1,False,False,False,False,False,597,0.6
1,False,False,False,False,False,597,1.0
1,False,False,False,True,False,34,0.155440414508
1,False,False,False,True,False,34,0.132075471698
1,False,False,False,True,False,33,0.0467532467532
1,False,False,False,False,False,33,0.00677966101695
1,False,False,False,True,False,33,0.0448877805486
1,False,False,False,False,False,34,0.181818181818
1,False,False,False,True,False,23,0.419601619565
1,False,False,False,False,False,23,0.419679616738
1,False,False,False,True,False,23,0.583843418979
1,False,False,False,True,False,121,0.512417493708
1,False,False,False,True,False,25,0.512417493708
1,False,False,False,True,False,25,0.575924446473
1,False,False,False,True,False,28,0.419601619565
1,False,False,False,True,False,28,0.583843418979
1,False,False,False,True,False,37,0.419601619565
1,False,False,False,False,False,37,0.333192120313
1,False,False,False,True,False,31,0.512417493708
1,False,False,False,True,False,31,0.575924446473
1,False,False,False,True,False,21,0.512417493708
1,False,False,False,False,False,23,0.333192120313
1,False,False,False,False,False,173,0.177966101695
1,False,False,False,False,False,173,0.291428571429
1,False,False,False,False,False,23,0.291428571429
1,False,False,False,True,False,37,0.560074138683
1,False,False,False,False,False,37,0.291428571429
1,False,False,False,True,False,28,0.560074138683
1,False,False,False,True,False,28,0.512417493708
1,False,False,False,False,False,30,0.333192120313
1,False,False,False,False,False,30,0.583843418979
1,False,False,False,True,False,367,0.583843418979
1,False,False,False,False,False,367,0.003663003663
1,False,False,False,True,False,23,0.606370694804
1,False,False,False,False,False,23,0.734800483676
1,False,False,False,True,False,23,0.419679616738
1,False,False,False,False,False,367,0.560074138683
1,False,False,False,False,False,367,0.177966101695
1,False,False,False,True,False,190,0.560074138683
1,False,False,False,False,False,190,0.456506488951
1,False,False,False,True,False,58,0.419679616738
1,False,False,False,False,False,58,0.111650485437
1,False,False,False,True,False,27,0.531567644953
1,False,False,False,False,False,27,0.0778971603991
1,False,False,False,False,False,27,0.421463727798
1,False,False,False,False,False,27,0.734800483676
1,False,False,False,False,False,58,0.145674632161
1,False,False,False,False,False,58,0.419601619565
1,False,False,False,True,False,27,0.419679616738
1,False,False,False,False,False,27,0.111650485437
1,False,False,False,False,False,27,0.145674632161
1,False,False,False,False,False,27,0.419601619565
1,False,False,False,False,False,190,0.291428571429
1,False,False,False,False,False,27,0.596424555008
1,False,False,False,False,False,190,0.512417493708
1,False,False,False,False,False,14,0.239316239316
1,False,False,False,True,False,827,0.0258824599709
1,False,False,False,False,False,827,0.00502512562814
1,False,False,False,False,False,827,0.0250795433277
1,False,False,False,False,False,827,0.123511060692
1,False,False,False,False,False,40,0.29908146622
1,False,False,False,False,False,40,0.36783524603
